	hemoglobin	name	weight	smoker	erytrocyty	alt	er-cv	etytr	alp	hbver	ast	hematokrit	leukocyty	indicator	trombocyty	ssn	relationship
0	3.75697	Timothy Adams	37.00349	Y	8.10483	6.99502	59.48585	6.92428	17.15875	10.83992	58.15058	5.61497	7.89752	1.00000	9.14117	193-31-3156	divoced
1	5.71604	Nicole Curtis	89.01093	no	7.25354	4.54700	42.75112	6.66589	79.33168	6.38203	47.77402	7.91392	9.51429	0.00000	6.91130	137-25-2845	single
2	5.46399	Crystal Mclaughlin MD	95.91500	Y	8.36274	9.13692	53.17972	6.55117	76.55878	5.52662	81.87602	5.98603	7.71176	1.00000	5.69635	047-52-2392	divoced
3	5.10850	Margaret Mitchell	79.94102	yes	8.16440	7.53921	64.39416	5.62682	66.26109	7.14286	45.38879	8.46706	6.62509	1.00000	8.50392	898-12-1171	single
4	5.58789	Martin Berger DDS	126.37269	no	8.01016	7.74402	64.52318	6.49951	75.22299	5.17337	41.12803	8.46158	6.58929	1.00000	6.82235	035-18-0029	separated
5	4.06591	Joshua Oliver	88.93436	no	10.16404	42.72793	69.35576	6.81816	21.36707	10.80108	60.77053	6.86049	8.07647	1.00000	9.05167	811-19-8937	widowed
6	8.92242	Noah Stewart	86.31793	no	7.89641	7.01008	81.49640	8.96403	15.00697	6.31086	67.99796	6.78390	7.00343	0.00000	6.05279	255-36-2871	nop
7	5.07126	Cameron Berry	74.08763	no	6.51992	3.18539	46.32262	5.83706	59.77036	11.08615	36.77928	6.88864	6.30489	1.00000	9.16547	094-45-3014	separated
8	6.21949	Ashley Scott	69.16968	N	5.83217	2.70147	60.64548	6.26177	91.39782	5.72434	62.75414	5.29818	7.24851	1.00000	5.50601	869-85-8054	married
9	4.29089	Susan Walters	86.29038	yes	8.07888	7.44994	39.63355	4.46683	34.16078	5.69396	47.28901	8.93084	7.38825	1.00000	9.09171	547-19-1320	widowed
10	8.65023	John West	-3.79878	no	6.89501	4.21987	55.19517	4.96878	23.34377	6.69859	66.66677	5.88252	6.38017	0.00000	4.73135	761-26-8189	single
