	race	current_location	sex	birthdate	blood_group	ssn	job	name	residence
0	White	(Decimal('-76.8660855'), Decimal('-8.939712'))	M	1959-09-03	B-	299-46-1109	Estate manager/land agent	Kenneth James	"1843 Kimberly Ways Suite 501
Lake Michelefort, AR 64885"
1	Hawaiian	(Decimal('-45.900811'), Decimal('156.648820'))	F	09/04/1939, 00:00:00	A+	450-29-7722	Historic buildings inspector/conservation officer	Kelly Robinson	"76192 Baker Vista Suite 995
Smithstad, GA 46898"
2	White	(Decimal('-79.756972'), Decimal('-34.811520'))	F	2018-08-19	AB-	740-89-6465	Quality manager	Sally Elliott	"Unit 6724 Box 3804
DPO AE 77266"
3	Asian	(Decimal('-24.9097705'), Decimal('-53.140226'))	F	1938/09/16	O+	191-52-2134	Exhibition designer	Terri Herrera	"24720 Morrow Hollow Suite 497
East Kevinborough, TX 64267"
4	Black	(Decimal('65.8105065'), Decimal('27.144390'))	M	1950-12-26	B+	207-29-8879	Ceramics designer	Corey Wright	"28615 Troy Squares Apt. 171
Kathryntown, NE 53006"
5	White	(Decimal('36.5822565'), Decimal('-171.114398'))	M	1966/01/09	A+	552-57-6978	Hydrologist	John Richardson	"4484 Tom Groves Suite 954
New Aimee, SC 39612"
6	White	(Decimal('77.610661'), Decimal('-5.757212'))	F	07/15/1985, 00:00:00	B+	415-99-1395	Electronics engineer	Sarah Sweeney	"195 Wyatt Squares Apt. 537
Samanthaland, DE 59922"
7	Indian	(Decimal('-38.4583735'), Decimal('-100.473512'))	M	1967/11/07	AB+	078-27-4258	Retail manager	Gabriel Ferguson	"99626 Sheila Place
Larsonville, NE 58810"
8	White	(Decimal('-32.103527'), Decimal('-168.039268'))	F	10 Jan 1977	O-	203-50-6794	Radiographer, therapeutic	Brooke Cantrell	"562 Le Key
Amberstad, DE 06812"
9	White	(Decimal('36.4831075'), Decimal('121.669945'))	F	10/04/1925, 00:00:00	AB+	303-04-9360	Field trials officer	Ashley Young	"Unit 1180 Box 8411
DPO AA 89749"
10	Black	(Decimal('55.4080215'), Decimal('-12.586937'))	M	11 Feb 1999	AB+	067-64-5657	Arts development officer	Joshua Eaton	"PSC 1396, Box 2948
APO AP 07793"
11	White	(Decimal('51.4796175'), Decimal('-165.819423'))	F	1932-10-31	B-	457-40-9334	Arts development officer	Angela Cole	"40572 Darryl Rue Suite 023
South Erikberg, CA 52070"
12	White	(Decimal('-28.922231'), Decimal('149.018437'))	M	25 Sep 1925	AB+	533-23-0702	Occupational hygienist	Jeffrey Pruitt	"4304 Madden Court Apt. 228
West Michaelhaven, VT 38901"
13	Black	(Decimal('73.097817'), Decimal('-25.970854'))	M	13 May 1979	AB+	130-31-2425	Engineer, manufacturing systems	Kenneth Hatfield	"1465 William Valleys
North Abigail, NY 18560"
14	White	(Decimal('49.9796985'), Decimal('-29.784438'))	F	1985/12/12	A+	345-10-9860	Ship broker	Danielle Baker	"2989 Ryan Lake Apt. 665
Michaelmouth, OK 77513"
15	Asian	(Decimal('-76.360426'), Decimal('-34.212219'))	M	1915/05/05	B-	603-75-5569	Building services engineer	Richard Silva	"0197 Brad Turnpike Suite 915
South Brandi, WV 40855"
16	Asian	(Decimal('83.6678465'), Decimal('41.154065'))	M	05/12/2005, 00:00:00	B+	539-68-7711	Adult guidance worker	David Smith	"USS Harris
FPO AA 66654"
17	White	(Decimal('-9.528700'), Decimal('-35.687165'))	F	07 Jul 1941	A-	654-66-2429	IT trainer	Traci Gibbs	"5723 Misty Shoals Suite 102
North Kimberlyfort, MA 25021"
18	White	(Decimal('-6.2307555'), Decimal('95.019188'))	F	10/14/1964, 00:00:00	A-	041-35-1140	Music therapist	Kathleen Pierce	"635 Andrew Union
North Laura, KY 12317"
19	Black	(Decimal('-54.1704885'), Decimal('66.038990'))	M	08 Oct 2017	A+	254-80-3157	Professor Emeritus	John Cox	"038 Williamson Curve
Michelleview, ME 68341"
20	White	(Decimal('55.6734775'), Decimal('140.959354'))	F	2021/01/24	A+	101-71-1541	Private music teacher	Amber Wise	"85573 Anita Cape Apt. 466
Odonnellmouth, WV 60497"
